250,90,77
240,177,154
230,263,230
220,350,305
210,436,379
200,521,449
190,605,519
180,687,585
170,767,648
160,845,706
150,922,760
140,995,809
130,1068,856
120,1137,899
110,1201,937
100,1261,968
90,1315,993
80,1364,1014
70,1407,1031
60,1445,1045
50,1477,1055
40,1499,1060
30,1515,1063
20,1520,1063
10,1520,1063
0,1520,1063
10,1520,1063
20,1520,1063
30,1520,1063
40,1520,1063
50,1520,1063
60,1520,1063
70,1520,1063
80,1520,1063
90,1520,1063
100,1520,1063
110,1520,1063
120,1547,1063
130,1605,1063
140,1671,1063
150,1741,1063
160,1816,1063
170,1893,1063
180,1971,1063
190,2051,1063
200,2133,1063
210,2217,1063
220,2300,1063
230,2385,1063
240,2471,1079
