170,78,51
160,155,102
160,230,150
160,304,195
160,377,237
150,452,282
150,527,327
150,601,373
150,675,415
140,745,453
140,817,490
140,889,529
140,963,568
130,1033,603
130,1102,633
130,1173,665
130,1244,701
120,1313,737
120,1377,771
120,1442,803
120,1508,837
110,1575,871
110,1639,905
110,1701,937
110,1761,967
100,1821,995
100,1880,1025
100,1940,1053
100,1998,1082
90,2051,1107
90,2101,1129
90,2154,1152
90,2209,1177
80,2260,1201
80,2307,1221
80,2351,1239
80,2395,1256
70,2437,1273
70,2479,1291
70,2523,1308
70,2563,1324
80,2605,1340
80,2647,1356
80,2691,1373
80,2739,1391
90,2791,1413
90,2843,1435
90,2894,1455
90,2944,1475
100,2999,1497
100,3057,1523
100,3117,1549
100,3173,1575
110,3232,1601
110,3293,1629
110,3358,1659
110,3422,1691
120,3487,1723
120,3553,1756
120,3620,1789
120,3689,1825
130,3760,1863
130,3831,1902
130,3901,1940
130,3973,1979
140,4047,2021
140,4123,2067
140,4199,2112
140,4273,2156
150,4349,2201
150,4427,2251
150,4507,2303
150,4585,2356
160,4665,2409
160,4743,2463
160,4823,2517
160,4905,2573
170,4987,2634
170,5071,2695
170,5153,2756
